Food,id
tinned chickpeas,262490576
dried chickpeas,256538611
tinned lentils,264129006
dried lentils,256534728
frozen garden peas,250172580
tinned kidney beans,259061829
tinned cannellini beans,262489348
tinned butter beans,262490708
tinned haricot beans,262167712
hummus,260083981
reduced fat hummus,260084012
extreme chilli hummus,282152912
peanut butter,264604671
Sunpat no added sugar peanut butter,293479054
reduced fat peanut butter,251624367
penne,254239488
porridge oats,292990837
dried soya mince,260261027
frozen soya mince,257974340
sweetened soya milk,256438810
dry roasted peanuts,268459093
spinach,275549004
closed cup mushroom,279316390
chestnut mushrooms,273796618
large flat mushrooms,255932232
portobello mushrooms,290392530
tinned mushrooms,266819805
Cauldron tofu,266727466
Pulsin soya protein,271554880